id,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,ML,A1,A2,A3,A4,A5,A6,A7,A8,MA
4653,10.0,10.0,10.0,10.0,10.0,8.3,6.3,10.0,1.1,9.2,0.4,9.2,0.0,6.7,9.06,10.0,10.0,10.0,10.0,10.0,10.0,6.7,0.0,9.34
4571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4646,10.0,9.2,0.0,3.3,0.0,4.2,0.0,6.7,0.0,10.0,0.0,9.2,0.0,10.0,7.51,0.0,3.3,0.0,0.0,0.0,6.7,3.3,0.0,2.22
4717,10.0,10.0,10.0,10.0,10.0,10.0,7.5,10.0,7.8,10.0,10.0,10.0,2.5,9.7,9.96,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.00
3782,10.0,10.0,10.0,10.0,10.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
3701,10.0,10.0,6.7,10.0,10.0,10.0,0.0,10.0,0.0,9.2,0.0,3.3,0.0,10.0,8.93,5.0,10.0,3.3,10.0,0.0,0.0,0.0,0.0,2.77
3693,10.0,10.0,4.2,10.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,5.0,0.0,10.0,9.29,10.0,10.0,6.7,10.0,0.0,0.0,0.0,0.0,3.56
4639,10.0,10.0,10.0,10.0,10.0,10.0,2.5,10.0,0.0,10.0,0.0,10.0,0.0,10.0,10.00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.00
4643,10.0,10.0,5.0,10.0,2.5,10.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,10.00,10.0,10.0,10.0,10.0,10.0,6.7,10.0,0.0,9.34
4851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
3718,10.0,10.0,5.0,10.0,0.0,10.0,0.0,9.2,0.0,0.0,0.0,0.0,0.0,0.0,5.60,5.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.55
2562,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
1226,1.9,8.3,0.0,4.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.90,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
4626,10.0,10.0,0.0,10.0,10.0,9.2,0.0,10.0,0.0,6.1,0.0,0.8,0.0,5.8,7.41,5.0,10.0,6.7,10.0,0.0,0.0,0.0,0.0,3.23
3702,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67
4623,10.0,1.7,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4884,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
1364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4042,10.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4865,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4645,10.0,10.0,10.0,10.0,10.0,10.0,7.5,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.00,10.0,10.0,10.0,10.0,10.0,10.0,6.7,0.0,9.34
4641,10.0,10.0,10.0,5.8,0.0,8.3,0.0,0.8,0.0,5.8,0.0,0.0,0.0,10.0,5.81,10.0,10.0,10.0,6.7,10.0,10.0,6.7,0.0,8.90
1064,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4716,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4864,10.0,10.0,10.0,10.0,3.8,10.0,0.0,10.0,3.3,10.0,10.0,10.0,0.0,10.0,10.00,0.0,6.7,10.0,10.0,10.0,10.0,10.0,0.0,9.11
2527,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4651,10.0,10.0,10.0,10.0,10.0,10.0,6.3,10.0,6.7,10.0,10.0,10.0,9.2,10.0,10.00,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.00
4640,10.0,10.0,10.0,10.0,10.0,9.2,0.0,2.5,0.0,6.4,0.0,10.0,0.0,10.0,8.30,10.0,10.0,10.0,6.7,10.0,10.0,10.0,3.3,9.56
