id,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,ML,A1,A2,A3,A4,A5,A6,A7,A8,MA
4679,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.5,10.0,0.0,9.17,10.0,10.0,10.0,5.0,10.0,0.0,5.0,0.0,7.08
4715,10.0,10.0,10.0,10.0,10.0,10.0,8.8,10.0,9.3,9.6,10.0,10.0,0.0,10.0,0.0,8.51,10.0,10.0,10.0,10.0,10.0,0.0,5.0,0.0,7.92
4683,10.0,10.0,10.0,7.2,10.0,3.3,10.0,10.0,10.0,5.3,10.0,10.0,10.0,0.8,10.0,8.44,10.0,5.0,5.0,0.0,5.0,0.0,0.0,3.3,3.61
2636,0.0,1.7,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4669,10.0,10.0,10.0,10.0,6.3,8.3,0.0,10.0,1.1,10.0,0.0,10.0,3.3,9.2,0.0,6.55,10.0,10.0,10.0,10.0,10.0,10.0,5.0,0.0,8.75
4676,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,10.0,10.0,10.0,10.0,10.0,6.7,5.0,0.0,8.47
3106,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4706,10.0,10.0,10.0,10.0,10.0,10.0,7.5,10.0,6.7,10.0,0.0,10.0,0.0,7.5,0.0,7.45,10.0,10.0,10.0,10.0,10.0,5.0,5.0,0.0,8.33
4688,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,10.0,10.0,10.0,10.0,10.0,5.0,5.0,0.0,8.33
4847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
2015,10.0,5.8,7.5,3.3,2.5,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.33,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83
4668,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,9.33,10.0,10.0,10.0,5.0,10.0,0.0,5.0,10.0,7.92
4733,10.0,10.0,10.0,8.3,10.0,9.2,10.0,10.0,10.0,9.2,10.0,10.0,10.0,7.5,8.8,9.53,10.0,5.0,10.0,5.0,5.0,0.0,10.0,0.0,5.83
4673,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,10.0,10.0,10.0,5.0,10.0,5.0,5.0,0.0,7.50
2321,10.0,10.0,10.0,10.0,5.0,10.0,0.0,9.4,0.0,9.7,0.0,10.0,0.0,9.2,0.0,6.22,10.0,10.0,10.0,5.0,10.0,0.0,0.0,10.0,7.50
1152,10.0,10.0,10.0,10.0,10.0,9.2,7.5,10.0,0.0,10.0,8.8,4.2,7.5,9.2,0.0,7.76,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,6.67
4708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
3812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
4857,10.0,2.5,5.8,2.5,0.0,2.5,0.0,5.8,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.99,10.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,2.50
4677,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.00,10.0,10.0,10.0,0.0,5.0,5.0,0.0,6.7,5.56
4682,10.0,10.0,10.0,10.0,10.0,9.2,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.5,8.8,9.70,10.0,10.0,10.0,5.0,5.0,0.0,5.0,6.7,6.39
