id_user;computador_pessoal;gosto_jogos;frequencia_jogos;gosto_jogos_aventura;gosto_jogos_luta_acao;gosto_jogos_rpg;gosto_jogos_puzzle;gosto_jogos_esporte;ja_jogou_rpg_eletronico;ja_jogou_rpg_mesa;sexo;ano_nascimento;estado_civil;filhos
3258;1;1;2;1;2;1;2;5;2;2;2;1998;1;2
3275;1;1;2;2;2;2;2;2;4;4;1;1998;1;2
3290;1;1;1;2;2;1;1;5;1;3;1;1994;1;2
3314;1;2;4;3;2;3;4;1;4;4;1;1996;1;2
3332;1;1;2;1;2;1;2;3;2;4;1;1998;1;2
3336;1;5;5;5;5;5;1;5;4;4;2;1999;1;2
3338;2;3;3;4;3;3;3;4;5;3;2;1999;1;2
3361;1;4;5;5;4;5;5;5;5;5;2;1998;1;2
3384;1;2;4;2;2;3;3;2;1;2;1;1999;1;2
3384;1;2;4;2;2;3;3;2;1;2;1;1999;1;2
3395;1;2;4;2;2;2;2;2;3;4;1;1998;1;1
3396;3;2;4;3;5;3;2;2;4;2;1;1987;1;1
3396;3;2;4;3;5;3;2;2;4;2;1;1987;1;1
3400;2;2;4;2;2;2;2;2;3;2;2;1999;1;2
3442;1;1;1;1;1;1;1;2;4;5;2;1999;1;2
3459;1;1;2;1;3;1;2;2;1;3;1;1999;1;2
3469;1;2;4;2;3;4;3;3;2;4;1;1998;1;2
3492;1;1;2;1;3;5;2;5;2;4;1;1997;1;2
3504;1;1;2;1;3;5;2;3;4;4;2;1999;1;2
3525;1;1;2;3;1;4;3;1;3;4;1;1995;1;2
3533;1;2;3;2;2;1;4;1;2;5;1;1999;1;2
3558;2;3;4;3;3;3;2;3;5;5;1;1990;1;2
3631;3;1;1;1;1;1;5;1;2;4;1;2003;5;2
3650;3;1;1;1;1;1;1;1;1;1;1;2022;2;2
3657;1;2;4;3;2;4;2;4;3;4;1;1999;1;2
3695;1;1;1;5;5;1;5;5;1;1;1;2022;1;2
3700;1;1;2;3;2;1;1;1;3;4;1;1998;1;2
3730;1;5;4;5;5;5;2;5;5;5;2;1998;1;2
3731;1;1;2;1;1;3;4;4;2;4;1;1999;1;1
3756;1;2;4;2;2;4;4;2;4;4;1;1998;1;2
3757;1;1;2;2;3;1;3;1;1;4;1;1998;1;2
3764;1;2;5;1;2;2;2;2;3;4;1;2000;1;2
3765;1;1;4;1;1;1;5;1;2;4;1;1999;1;2
3769;1;1;1;1;1;3;3;1;1;4;1;2000;1;1
3792;1;4;4;4;4;4;4;2;4;4;1;1999;1;2
3799;1;2;1;1;1;1;1;4;1;2;1;2000;1;2
3801;3;1;4;2;1;3;3;4;4;3;1;1998;1;2
3806;2;2;4;3;3;3;2;2;3;4;1;1986;5;1
3859;1;3;5;2;2;5;3;5;4;4;2;2000;1;2
3973;3;1;1;1;1;1;1;1;3;3;1;2022;2;1
4023;1;1;2;1;1;1;1;1;1;2;1;1998;1;2
4029;3;2;4;2;2;1;2;4;3;1;2;1999;1;2
4031;1;3;4;2;4;3;5;4;1;4;1;2000;1;2
4037;1;1;1;1;1;1;1;1;1;1;1;2019;1;2
4045;3;2;1;1;1;2;3;2;1;4;1;1997;1;1
4046;1;5;4;4;4;5;4;3;4;2;2;1998;1;2
4049;1;4;4;1;1;5;2;1;4;4;1;2000;1;2
4051;1;1;4;1;1;1;1;1;4;4;2;2000;1;2
4063;1;2;2;2;2;2;2;3;2;2;1;1999;1;2
4070;1;1;2;1;1;2;1;2;2;1;1;1989;2;1
4092;2;5;5;5;5;5;4;5;5;5;1;1998;1;2
4106;2;3;4;1;1;2;2;2;3;3;2;1999;1;2
4113;1;1;1;1;1;1;1;1;1;1;1;2022;1;1
4178;1;1;1;2;4;4;4;5;2;4;1;1998;1;2
4181;1;1;1;1;1;1;1;5;1;3;1;2000;1;2
4193;1;4;4;3;4;4;1;1;4;4;2;2000;1;2
4194;1;1;2;1;2;2;1;3;2;4;2;1999;1;2
4202;1;5;4;3;3;4;3;3;3;4;1;2022;1;2
4245;1;2;2;1;1;2;4;3;1;4;1;2001;1;2
4305;2;5;5;5;2;5;2;2;5;5;2;1998;1;2
4317;1;1;1;1;1;1;5;5;1;1;1;1999;1;2
4330;1;1;2;1;1;1;1;1;1;1;1;2001;1;2
4338;1;1;2;4;5;1;1;1;4;1;1;1997;2;1
4339;1;2;4;1;1;1;1;1;1;1;1;1999;1;2
4372;1;1;1;1;3;1;1;3;1;1;1;2001;1;2
4386;1;1;1;2;2;1;3;4;1;2;1;1997;1;2
